area,week_no,year,date,events,weekly_total,weekly_total_pc
Carlow County,6,2020,2020-02-05,Pre-restrictions,384608,1
Carlow County,7,2020,2020-02-12,Pre-restrictions,396273,1.0303295823279808
Carlow County,8,2020,2020-02-19,Pre-restrictions,405888,1.0553290623179965
Carlow County,9,2020,2020-02-26,Pre-restrictions,356474,0.926850195523754
Carlow County,10,2020,2020-03-04,Pre-restrictions,409988,1.0659892669939264
Carlow County,11,2020,2020-03-11,Pre-restrictions,300747,0.7819572135785007
Carlow County,12,2020,2020-03-18,School Shutdown,248165,0.6452413886346617
Carlow County,13,2020,2020-03-25,School Shutdown,155438,0.4041465596139446
Carlow County,14,2020,2020-04-01,Full Restrictions,132526,0.34457421582494385
Carlow County,15,2020,2020-04-08,Full Restrictions,113793,0.29586748065562857
Carlow County,16,2020,2020-04-15,Full Restrictions,138685,0.3605879232881271
Carlow County,17,2020,2020-04-22,Full Restrictions,144982,0.3769604376404027
Carlow County,18,2020,2020-04-29,Full Restrictions,111349,0.28951295864880605
Carlow County,19,2020,2020-05-06,Full Restrictions,167340,0.43509235377319244
Carlow County,20,2020,2020-05-13,Full Restrictions,188402,0.48985460520842
Carlow County,21,2020,2020-05-20,Phase 1,220605,0.573584012813046
Carlow County,22,2020,2020-05-27,Phase 1,200555,0.5214530118978284
Carlow County,23,2020,2020-06-03,Phase 1,259658,0.6751237623762376
Carlow County,24,2020,2020-06-10,Phase 2,280328,0.7288667942424495
Carlow County,25,2020,2020-06-17,Phase 2,298977,0.7773551252184042
Carlow County,26,2020,2020-06-24,Phase 2,268921,0.6992080247940761
Carlow County,27,2020,2020-07-01,Phase 3,355277,0.9237379357683667
Carlow County,28,2020,2020-07-08,Phase 3,369511,0.9607470463432898
Carlow County,29,2020,2020-07-15,Phase 3,370721,0.9638931067476496
Carlow County,30,2020,2020-07-22,Phase 3,371325,0.9654635368999085
Carlow County,31,2020,2020-07-29,Phase 3,311404,0.8096659455861552
Carlow County,32,2020,2020-08-05,Phase 3,368821,0.9589530118978284
Carlow County,33,2020,2020-08-12,Phase 3,358908,0.933178717031367
Carlow County,34,2020,2020-08-19,Phase 3,348579,0.9063228013977869
Carlow County,35,2020,2020-08-26,Phase 3,317439,0.8253572468591397
Carlow County,36,2020,2020-09-02,Phase 3,372138,0.9675773774856478
Carlow County,37,2020,2020-09-09,Phase 3,378374,0.9837912887927448
Carlow County,38,2020,2020-09-16,Phase 3,372911,0.9695872160745487
Carlow County,39,2020,2020-09-23,Phase 3,358120,0.9311298776936517
Carlow County,40,2020,2020-09-30,Phase 3,349771,0.9094220609035694
Carlow County,41,2020,2020-10-07,Level 3,298827,0.7769651177302604
Carlow County,42,2020,2020-10-14,Level 3,300500,0.781315001248024
Carlow County,43,2020,2020-10-21,Level 5,235507,0.6123299567351693
Carlow County,44,2020,2020-10-28,Level 5,255490,0.6642867543056826
Carlow County,45,2020,2020-11-04,Level 5,90824,0.2361469340211332
Cavan County,6,2020,2020-02-05,Pre-restrictions,377672,1
Cavan County,7,2020,2020-02-12,Pre-restrictions,385976,1.021987332923807
Cavan County,8,2020,2020-02-19,Pre-restrictions,397729,1.0531069287635832
Cavan County,9,2020,2020-02-26,Pre-restrictions,342800,0.9076659111610075
Cavan County,10,2020,2020-03-04,Pre-restrictions,404026,1.0697801266707618
Cavan County,11,2020,2020-03-11,Pre-restrictions,314628,0.8330720837128514
Cavan County,12,2020,2020-03-18,School Shutdown,266957,0.7068488000169459
Cavan County,13,2020,2020-03-25,School Shutdown,160682,0.4254538329555805
Cavan County,14,2020,2020-04-01,Full Restrictions,136792,0.36219788599631425
Cavan County,15,2020,2020-04-08,Full Restrictions,114877,0.3041713444470334
Cavan County,16,2020,2020-04-15,Full Restrictions,141463,0.37456576076595566
Cavan County,17,2020,2020-04-22,Full Restrictions,149113,0.3948214323540003
Cavan County,18,2020,2020-04-29,Full Restrictions,120288,0.3184985913702896
Cavan County,19,2020,2020-05-06,Full Restrictions,173071,0.4582574297273825
Cavan County,20,2020,2020-05-13,Full Restrictions,196823,0.5211479802580017
