week_no,year,date,events,weekly_total,weekly_total_pc
1,2020,2020-01-01,Pre-restrictions,643063,93.12766798628856
2,2020,2020-01-08,Pre-restrictions,687955,99.62887746536053
3,2020,2020-01-15,Pre-restrictions,725728,105.09912128726613
4,2020,2020-01-22,Pre-restrictions,739815,107.1391849496489
5,2020,2020-01-29,Pre-restrictions,751866,108.88439735792423
6,2020,2020-02-05,Pre-restrictions,726513,105.21280411362876
7,2020,2020-02-12,Pre-restrictions,753247,109.08439224099023
8,2020,2020-02-19,Pre-restrictions,765021,110.78948981754269
9,2020,2020-02-26,Pre-restrictions,730065,105.72720080055882
10,2020,2020-03-04,Pre-restrictions,770364,111.56325713124406
11,2020,2020-03-11,Pre-restrictions,626889,90.78536730655698
12,2020,2020-03-18,School Shutdown,505777,73.24606225377772
13,2020,2020-03-25,School Shutdown,306087,44.327178691542045
14,2020,2020-04-01,Full Restrictions,237400,34.38000379425484
15,2020,2020-04-08,Full Restrictions,178063,25.786885491223256
16,2020,2020-04-15,Full Restrictions,226820,32.84781996888325
17,2020,2020-04-22,Full Restrictions,244259,35.37331654077882
18,2020,2020-04-29,Full Restrictions,225218,32.61582011177122
19,2020,2020-05-06,Full Restrictions,286572,41.501038110055596
20,2020,2020-05-13,Full Restrictions,335455,48.58021976748845
21,2020,2020-05-20,Phase 1,401164,58.09612401903307
22,2020,2020-05-27,Phase 1,430035,62.27719010809765
23,2020,2020-06-03,Phase 1,477581,69.1627489134963
24,2020,2020-06-10,Phase 2,534172,77.3581945525893
25,2020,2020-06-17,Phase 2,557360,80.71625490634322
26,2020,2020-06-24,Phase 2,595660,86.26281828174321
27,2020,2020-07-01,Phase 3,663628,96.10586839921548
28,2020,2020-07-08,Phase 3,717215,103.86627810150163
29,2020,2020-07-15,Phase 3,733204,106.18178728712229
30,2020,2020-07-22,Phase 3,733255,106.18917305036366
31,2020,2020-07-29,Phase 3,761838,110.32853129994744
32,2020,2020-08-05,Phase 3,780498,113.03085173297522
33,2020,2020-08-12,Phase 3,806560,116.80512156821476
34,2020,2020-08-19,Phase 3,753008,109.04978052697662
35,2020,2020-08-26,Phase 3,780972,113.09949588545405
36,2020,2020-09-02,Phase 3,732084,106.01959013358578
37,2020,2020-09-09,Phase 3,740048,107.17292775033998
38,2020,2020-09-16,Phase 3,737451,106.79683310057722
39,2020,2020-09-23,Phase 3,652552,94.50185440584914
40,2020,2020-09-30,Phase 3,610070,88.3496584446548
41,2020,2020-10-07,Level 3,527267,76.35822013725935
42,2020,2020-10-14,Level 3,504780,73.10167782335282
43,2020,2020-10-21,Level 5,408194,59.114200795248784
44,2020,2020-10-28,Level 5,394148,57.08007470723655
45,2020,2020-11-04,Level 5,474879,68.7714482805895
46,2020,2020-11-11,Level 5,488070,70.68175422014306
47,2020,2020-11-18,Level 5,341977,49.5247285490644
