date,weekly_total,weekly_total_pc,events,week_no
2020-01-01,28827148,60.94464754642024,Pre-restrictions,1
2020-01-06,48023111,101.52761466301199,Pre-restrictions,2
2020-01-13,49663931,104.9965390459276,Pre-restrictions,3
2020-01-20,51294329,108.44342985421669,Pre-restrictions,4
2020-01-27,51142605,108.12266396699353,Pre-restrictions,5
2020-02-03,50539113,106.84679695312576,Pre-restrictions,6
2020-02-10,49597863,104.85686199656786,Pre-restrictions,7
2020-02-17,52185885,110.32830470163123,Pre-restrictions,8
2020-02-24,50317431,106.37813000912611,Pre-restrictions,9
2020-03-02,51788761,109.48872868071425,Pre-restrictions,10
2020-03-09,45172652,95.50134320873835,Pre-restrictions,11
2020-03-16,31218524,66.00035293465248,School Shutdown,12
2020-03-23,25919277,54.79699904489465,School Shutdown,13
2020-03-30,15043445,31.80395970523889,Full Restrictions,14
2020-04-06,14291513,30.214269642285906,Full Restrictions,15
2020-04-13,13972009,29.53879322437348,Full Restrictions,16
2020-04-20,16308496,34.47845554240067,Full Restrictions,17
2020-04-27,16489936,34.86204523538113,Full Restrictions,18
2020-05-04,17329450,36.63689597123213,Full Restrictions,19
2020-05-11,20522468,43.38738535781229,Full Restrictions,20
2020-05-18,26398874,55.810934593750204,Phase 1,21
2020-05-25,28410709,60.0642368974173,Phase 1,22
2020-06-01,28503999,60.26146508556847,Phase 1,23
2020-06-08,35602291,75.26825327431244,Phase 2,24
2020-06-15,37741713,79.79129245054513,Phase 2,25
2020-06-22,39155162,82.7795225428817,Phase 2,26
2020-06-29,42918811,90.73640616499503,Phase 3,27
2020-07-06,44897131,94.91885304229396,Phase 3,28
2020-07-13,45942316,97.12852121501105,Phase 3,29
2020-07-20,46550290,98.41386380760423,Phase 3,30
2020-07-27,46219871,97.71531154368827,Phase 3,31
2020-08-03,45925033,97.09198252087646,Phase 3,32
2020-08-10,46366937,98.02622976341856,Phase 3,33
2020-08-17,45556914,96.31372715166196,Phase 3,34
2020-08-24,45926903,97.09593596403052,Phase 3,35
2020-08-31,44552969,94.1912461424067,Phase 3,36
2020-09-07,45018412,95.17525814345336,Phase 3,37
2020-09-14,44715376,94.5345973949854,Phase 3,38
2020-09-21,42895673,90.68748917692083,Phase 3,39
2020-09-28,41002608,86.68528336705494,Phase 3,40
2020-10-05,37826150,79.96980415086584,Level 3,41
2020-10-12,36830631,77.86513689135184,Level 3,42
2020-10-19,33466108,70.75206179988513,Level 3,43
2020-10-26,24747187,52.3190358435858,Level 5,44
2020-11-02,33261851,70.3202337580029,Level 5,45
2020-11-09,34059358,72.00627578445668,Level 5,46
2020-11-16,34731292,73.42683881776321,Level 5,47
2020-11-23,35573941,75.20831738478425,Level 5,48
2020-11-30,40249544,85.09320009680228,Level 5,49
2020-12-07,42904494,90.7061380122481,Level 3-,50
2020-12-14,44927784,94.98365779790974,Level 3-,51
2020-12-21,31497775,66.59072884599777,Level 3-,52
2020-12-28,6784454,14.343290492174285,Level 3-,53
