date,daily_total,daily_total_pc,events
2020-01-01,4238401,59.737174394404214,Pre-restrictions
2020-01-02,6535978,92.11984841075426,Pre-restrictions
2020-01-03,7074209,99.70582225123668,Pre-restrictions
2020-01-04,5770068,81.32490493079138,Pre-restrictions
2020-01-05,5208492,73.40990032228171,Pre-restrictions
2020-01-06,6917224,97.49323304075246,Pre-restrictions
2020-01-07,7131904,100.51899124508252,Pre-restrictions
2020-01-08,7321689,103.19387256056964,Pre-restrictions
2020-01-09,7475222,105.35780834585663,Pre-restrictions
2020-01-10,7891999,111.23197653630783,Pre-restrictions
2020-01-11,5777254,81.4261863657472,Pre-restrictions
2020-01-12,5507819,77.62869632576366,Pre-restrictions
2020-01-13,6745054,95.06662231763198,Pre-restrictions
2020-01-14,7452238,105.03386560983871,Pre-restrictions
2020-01-15,7673383,108.15074327937744,Pre-restrictions
2020-01-16,7681781,108.26910697138396,Pre-restrictions
2020-01-17,8218045,115.82735737983771,Pre-restrictions
2020-01-18,6169518,86.9548616790662,Pre-restrictions
2020-01-19,5723912,80.67436973571472,Pre-restrictions
2020-01-20,7505933,105.79065751770858,Pre-restrictions
2020-01-21,7570242,106.69704602321568,Pre-restrictions
2020-01-22,7744889,109.15856825682677,Pre-restrictions
2020-01-23,7876764,111.01725031009686,Pre-restrictions
2020-01-24,8288103,116.81477385216377,Pre-restrictions
2020-01-25,6399176,90.19172388183325,Pre-restrictions
2020-01-26,5909222,83.28617918626624,Pre-restrictions
2020-01-27,7502961,105.74876934282844,Pre-restrictions
2020-01-28,7616939,107.35520621917058,Pre-restrictions
2020-01-29,7824455,110.27999306251768,Pre-restrictions
2020-01-30,8019253,113.0255289610042,Pre-restrictions
2020-01-31,7823507,110.26663169314136,Pre-restrictions
2020-02-01,6335197,89.28998648591919,Pre-restrictions
2020-02-02,6020293,84.85164401537534,Pre-restrictions
2020-02-03,7560043,106.55329854824845,Pre-restrictions
2020-02-04,7731704,108.9727352871785,Pre-restrictions
2020-02-05,7828315,110.33439695048448,Pre-restrictions
2020-02-06,8012363,112.92841943041059,Pre-restrictions
2020-02-07,8375673,118.04900920689259,Pre-restrictions
2020-02-08,6124172,86.31574284389968,Pre-restrictions
2020-02-09,4906843,69.15837742039074,Pre-restrictions
2020-02-10,7403975,104.35363378472422,Pre-restrictions
2020-02-11,7339352,103.44281967796802,Pre-restrictions
2020-02-12,7727883,108.91888107579994,Pre-restrictions
2020-02-13,8011736,112.91958232218387,Pre-restrictions
2020-02-14,8309856,117.12136653997256,Pre-restrictions
2020-02-15,5568524,78.4842890768064,Pre-restrictions
2020-02-16,5236537,73.80517416633072,Pre-restrictions
2020-02-17,7681645,108.26719015046078,Pre-restrictions
2020-02-18,7793979,109.8504560444668,Pre-restrictions
2020-02-19,7947438,112.0133488536632,Pre-restrictions
2020-02-20,8261829,116.44446096293062,Pre-restrictions
2020-02-21,8354899,117.75621481087639,Pre-restrictions
2020-02-22,6277898,88.48239882358499,Pre-restrictions
2020-02-23,5868197,82.70796169822525,Pre-restrictions
2020-02-24,7550820,106.42330708225938,Pre-restrictions
2020-02-25,7620810,107.40976514412381,Pre-restrictions
2020-02-26,7740519,109.09697629039803,Pre-restrictions
2020-02-27,8019929,113.03505668853413,Pre-restrictions
2020-02-28,8392111,118.2806908417108,Pre-restrictions
2020-02-29,5106695,71.97514576700789,Pre-restrictions
2020-03-01,5886547,82.96659158013999,Pre-restrictions
2020-03-02,7597885,107.08665397012408,Pre-restrictions
2020-03-03,7800447,109.94161779248995,Pre-restrictions
2020-03-04,7900815,111.35623163379887,Pre-restrictions
2020-03-05,8056506,113.55058285696987,Pre-restrictions
2020-03-06,8363380,117.87574832741694,Pre-restrictions
2020-03-07,6227817,87.7765436128944,Pre-restrictions
2020-03-08,5841911,82.3374796777342,Pre-restrictions
2020-03-09,7444181,104.92030806441164,Pre-restrictions
2020-03-10,7508443,105.8260341391585,Pre-restrictions
2020-03-11,7492256,105.59789016648526,Pre-restrictions
