week_no,date,events,weekly_total,weekly_total_pc
1,2020-01-01,Pre-restrictions,28827148,60.94464754642024
2,2020-01-06,Pre-restrictions,48023111,101.52761466301199
3,2020-01-13,Pre-restrictions,49663931,104.9965390459276
4,2020-01-20,Pre-restrictions,51294329,108.44342985421669
5,2020-01-27,Pre-restrictions,51142605,108.12266396699353
6,2020-02-03,Pre-restrictions,50539113,106.84679695312576
7,2020-02-10,Pre-restrictions,49597863,104.85686199656786
8,2020-02-17,Pre-restrictions,52185885,110.32830470163123
9,2020-02-24,Pre-restrictions,50317431,106.37813000912611
10,2020-03-02,Pre-restrictions,51788761,109.48872868071425
11,2020-03-09,Pre-restrictions,45172652,95.50134320873835
12,2020-03-16,School Shutdown,31218524,66.00035293465248
13,2020-03-23,School Shutdown,25919277,54.79699904489465
14,2020-03-30,Full Restrictions,15043445,31.80395970523889
15,2020-04-06,Full Restrictions,14291513,30.214269642285906
16,2020-04-13,Full Restrictions,13972009,29.53879322437348
17,2020-04-20,Full Restrictions,16308496,34.47845554240067
18,2020-04-27,Full Restrictions,16489936,34.86204523538113
19,2020-05-04,Full Restrictions,17329450,36.63689597123213
20,2020-05-11,Full Restrictions,20522468,43.38738535781229
21,2020-05-18,Phase 1,26398874,55.810934593750204
22,2020-05-25,Phase 1,28410709,60.0642368974173
23,2020-06-01,Phase 1,28503999,60.26146508556847
24,2020-06-08,Phase 2,35602291,75.26825327431244
25,2020-06-15,Phase 2,37741713,79.79129245054513
26,2020-06-22,Phase 2,39155162,82.7795225428817
27,2020-06-29,Phase 3,42918811,90.73640616499503
28,2020-07-06,Phase 3,44897131,94.91885304229396
29,2020-07-13,Phase 3,45942316,97.12852121501105
30,2020-07-20,Phase 3,46550290,98.41386380760423
31,2020-07-27,Phase 3,46219871,97.71531154368827
32,2020-08-03,Phase 3,45925033,97.09198252087646
33,2020-08-10,Phase 3,46366937,98.02622976341856
34,2020-08-17,Phase 3,45556914,96.31372715166196
35,2020-08-24,Phase 3,45926903,97.09593596403052
36,2020-08-31,Phase 3,44552969,94.1912461424067
37,2020-09-07,Phase 3,45018412,95.17525814345336
38,2020-09-14,Phase 3,44715376,94.5345973949854
39,2020-09-21,Phase 3,42895673,90.68748917692083
40,2020-09-28,Phase 3,41002608,86.68528336705494
41,2020-10-05,Level 3,37826150,79.96980415086584
42,2020-10-12,Level 3,36830631,77.86513689135184
43,2020-10-19,Level 3,33466108,70.75206179988513
44,2020-10-26,Level 5,24747187,52.3190358435858
45,2020-11-02,Level 5,33261851,70.3202337580029
46,2020-11-09,Level 5,34059358,72.00627578445668
47,2020-11-16,Level 5,34731292,73.42683881776321
48,2020-11-23,Level 5,35573941,75.20831738478425
49,2020-11-30,Level 5,40249544,85.09320009680228
50,2020-12-07,Level 3-,42904494,90.7061380122481
51,2020-12-14,Level 3-,44927784,94.98365779790974
52,2020-12-21,Level 3-,31497775,66.59072884599777
53,2020-12-28,Level 3-,6784454,14.343290492174285
