road_id,area
NRA_000000001012,Fingal
NRA_000000001013,Dublin City
NRA_000000001014,Fingal
NRA_000000001015,Fingal
NRA_000000001021,Monaghan County
NRA_000000001022,Monaghan County
NRA_000000001023,Meath County
NRA_000000001024,Monaghan County
NRA_000000001025,Meath County
NRA_000000001027,Meath County
NRA_000000001031,Donegal County
NRA_000000001032,Cavan County
NRA_000000001033,Fingal
NRA_000000001034,Fingal
NRA_000000001035,Cavan County
NRA_000000001036,Cavan County
NRA_000000001041,Sligo County
NRA_000000001042,Sligo County
NRA_000000001043,Westmeath County
NRA_000000001044,South Dublin
NRA_000000001045,Meath County
NRA_000000001046,Roscommon County
NRA_000000001051,Mayo County
NRA_000000001052,Mayo County
NRA_000000001053,Mayo County
NRA_000000001054,Roscommon County
NRA_000000001055,Roscommon County
NRA_000000001056,Roscommon County
NRA_000000001057,Longford County
NRA_000000001058,Mayo County
NRA_000000001069,Galway City
NRA_000000001070,South Dublin
NRA_000000001071,South Dublin
NRA_000000001072,South Dublin
NRA_000000001081,Cork City
NRA_000000001086,Cork County
NRA_000000001092,Carlow County
NRA_000000001101,Kilkenny County
NRA_000000001102,Kilkenny County
NRA_000000001111,Wexford County
NRA_000000001112,Wexford County
NRA_000000001113,Dún Laoghaire-Rathdown
NRA_000000001121,Monaghan County
NRA_000000001131,Donegal County
NRA_000000001132,Donegal County
NRA_000000001133,Donegal County
NRA_000000001141,Donegal County
NRA_000000001151,Donegal County
NRA_000000001161,Cavan County
NRA_000000001169,Sligo County
NRA_000000001171,Galway County
NRA_000000001172,Mayo County
NRA_000000001173,Sligo County
NRA_000000001182,Galway County
NRA_000000001191,Clare County
NRA_000000001201,Cork County
NRA_000000001202,Limerick County
NRA_000000001211,Kerry County
NRA_000000001221,Cork City
NRA_000000001222,Kerry County
NRA_000000001223,Kerry County
NRA_000000001224,Cork County
NRA_000000001241,South Tipperary
NRA_000000001242,South Tipperary
NRA_000000001243,Kilkenny County
NRA_000000001251,Waterford County
NRA_000000001252,Cork County
NRA_000000001253,Cork County
NRA_000000001254,Cork County
NRA_000000001255,Cork County
NRA_000000001256,Cork City
NRA_000000001258,Cork City
NRA_000000001261,Mayo County
NRA_000000001271,Cork County
NRA_000000001281,Cork County
NRA_000000001282,Cork County
NRA_000000001283,Cork County
NRA_000000001291,Kilkenny County
NRA_000000001311,Dún Laoghaire-Rathdown
NRA_000000001312,Dún Laoghaire-Rathdown
NRA_000000001331,Louth County
NRA_000000001401,Cork County
NRA_000000001501,Fingal
NRA_000000001502,Fingal
NRA_000000001503,South Dublin
NRA_000000001504,South Dublin
NRA_000000001505,South Dublin
NRA_000000001506,Dún Laoghaire-Rathdown
NRA_000000001507,Dún Laoghaire-Rathdown
NRA_000000001508,Fingal
NRA_000000001511,Meath County
NRA_000000001512,Louth County
NRA_000000001521,Westmeath County
NRA_000000001522,Meath County
NRA_000000001523,Offaly County
NRA_000000001524,Westmeath County
NRA_000000001531,Monaghan County
NRA_000000001541,Monaghan County
NRA_000000001542,Monaghan County
NRA_000000001551,Longford County
NRA_000000001552,Cavan County
NRA_000000001561,Donegal County
NRA_000000001581,Mayo County
NRA_000000001591,Galway County
NRA_000000001592,Mayo County
NRA_000000001593,Sligo County
NRA_000000001594,Galway County
NRA_000000001601,Mayo County
NRA_000000001602,Roscommon County
NRA_000000001611,Roscommon County
NRA_000000001621,North Tipperary
NRA_000000001622,North Tipperary
NRA_000000001623,North Tipperary
NRA_000000001624,Westmeath County
NRA_000000001631,Galway County
NRA_000000001632,Roscommon County
NRA_000000001651,North Tipperary
NRA_000000001661,Galway County
NRA_000000001671,Clare County
NRA_000000001679,Galway County
NRA_000000001681,Clare County
NRA_000000001691,Kerry County
NRA_000000001692,Limerick County
NRA_000000001693,Kerry County
NRA_000000001694,Limerick County
NRA_000000001701,Kerry County
NRA_000000001711,Cork County
NRA_000000001712,Cork County
NRA_000000001713,Cork County
NRA_000000001715,Cork County
NRA_000000001717,Cork County
NRA_000000001721,Kerry County
NRA_000000001722,Kerry County
NRA_000000001723,Waterford County
NRA_000000001731,Cork County
NRA_000000001741,South Tipperary
NRA_000000001751,North Tipperary
NRA_000000001761,Kilkenny County
NRA_000000001771,Kilkenny County
NRA_000000001781,Laois County
NRA_000000001782,Kildare County
NRA_000000001801,Laois County
NRA_000000001803,Offaly County
NRA_000000001811,Wicklow County
NRA_000000001831,Galway County
NRA_000000001832,Mayo County
NRA_000000001841,Galway County
NRA_000000001842,Mayo County
NRA_000000001851,Clare County
NRA_000000001871,Cavan County
NRA_000000003101,Louth County
NRA_000000003171,Galway County
NRA_000000003172,Galway County
NRA_000000003173,Galway County
NRA_000000003181,Galway County
NRA_000000003182,Galway County
NRA_000000003301,Meath County
NRA_000000003302,Meath County
NRA_000000003303,Meath County
NRA_000000003304,Meath County
NRA_000000003305,Meath County
NRA_000000003306,Meath County
NRA_000000003307,Meath County
NRA_000000003308,Meath County
NRA_000000003309,Meath County
NRA_000000003310,Meath County
NRA_000000003311,Meath County
NRA_000000003312,Meath County
