week_no,year,date,events,weekly_total,weekly_total_pc
6,2020,2020-02-05,Pre-restrictions,49196875,1
7,2020,2020-02-12,Pre-restrictions,49843302,1.0131395947405195
8,2020,2020-02-19,Pre-restrictions,51401631,1.0448149602998158
9,2020,2020-02-26,Pre-restrictions,45224687,0.9192593432001525
10,2020,2020-03-04,Pre-restrictions,51129288,1.0392791818586038
11,2020,2020-03-11,Pre-restrictions,38617312,0.7849545728260179
12,2020,2020-03-18,School Shutdown,32055440,0.6515747189226958
13,2020,2020-03-25,School Shutdown,18983658,0.38587121641364414
14,2020,2020-04-01,Full Restrictions,15268128,0.31034751699167884
15,2020,2020-04-08,Full Restrictions,12746523,0.2590921272946706
16,2020,2020-04-15,Full Restrictions,15670672,0.3185298253191895
17,2020,2020-04-22,Full Restrictions,16553639,0.33647744902496346
18,2020,2020-04-29,Full Restrictions,12724276,0.2586399237756463
19,2020,2020-05-06,Full Restrictions,19304413,0.3923910410976307
20,2020,2020-05-13,Full Restrictions,22348814,0.4542730407165089
21,2020,2020-05-20,Phase 1,27147956,0.5518227732960681
22,2020,2020-05-27,Phase 1,24775622,0.5036015397319443
23,2020,2020-06-03,Phase 1,31672063,0.6437820085117195
24,2020,2020-06-10,Phase 2,35872791,0.729168082322302
25,2020,2020-06-17,Phase 2,37629930,0.7648845582163502
26,2020,2020-06-24,Phase 2,33834455,0.6877358572063774
27,2020,2020-07-01,Phase 3,43729615,0.888869770691736
28,2020,2020-07-08,Phase 3,44991146,0.9145122733913486
29,2020,2020-07-15,Phase 3,46355130,0.942237286413009
30,2020,2020-07-22,Phase 3,46114021,0.9373363856952296
31,2020,2020-07-29,Phase 3,38130857,0.7750666480340469
32,2020,2020-08-05,Phase 3,46465097,0.9444725300133393
33,2020,2020-08-12,Phase 3,45865897,0.932292894619831
34,2020,2020-08-19,Phase 3,44782418,0.9102695648859811
35,2020,2020-08-26,Phase 3,38800797,0.7886841796353935
36,2020,2020-09-02,Phase 3,44759802,0.9098098608905545
37,2020,2020-09-09,Phase 3,45063295,0.9159788096296767
38,2020,2020-09-16,Phase 3,43569489,0.8856149704630629
39,2020,2020-09-23,Phase 3,42454721,0.862955645048593
40,2020,2020-09-30,Phase 3,39544270,0.8037963793432001
41,2020,2020-10-07,Level 3,33969509,0.6904810315695865
42,2020,2020-10-14,Level 3,37153016,0.7551905685066379
43,2020,2020-10-21,Level 5,27081497,0.5504718948103919
44,2020,2020-10-28,Level 5,29056908,0.5906250752715493
45,2020,2020-11-04,Level 5,10105398,0.2054073149971416
